iter	Passed	Remaining
0	144	144142
1	144	72332
2	145	48365
3	146	36378
4	146	29190
5	147	24408
6	147	20991
7	148	18436
8	149	16440
9	149	14844
10	150	13537
11	151	12445
12	151	11520
13	152	10740
14	153	10056
15	153	9456
16	154	8928
17	155	8456
18	155	8038
19	156	7657
20	156	7311
21	157	7014
22	158	6737
23	159	6481
24	160	6241
25	160	6018
26	161	5812
27	161	5620
28	162	5440
29	163	5279
30	163	5126
31	164	4978
32	165	4841
33	165	4711
34	166	4589
35	167	4473
36	167	4364
37	168	4265
38	169	4167
39	169	4074
40	170	3986
41	171	3901
42	171	3820
43	172	3743
44	172	3669
45	173	3603
46	174	3538
47	175	3476
48	175	3414
49	176	3354
50	177	3297
51	177	3241
52	178	3187
53	179	3140
54	180	3093
55	180	3048
56	181	3004
57	182	2960
58	182	2916
59	183	2873
60	184	2832
61	184	2796
62	185	2759
63	186	2724
64	187	2691
65	187	2659
66	188	2628
67	189	2593
68	189	2563
69	190	2534
70	191	2504
71	192	2475
72	192	2446
73	193	2418
74	193	2390
75	194	2363
76	195	2337
77	195	2314
78	196	2290
79	197	2266
80	197	2243
81	198	2220
82	198	2198
83	199	2176
84	200	2153
85	200	2134
86	201	2113
87	202	2094
88	202	2074
89	203	2055
90	203	2036
91	204	2018
92	205	1999
93	205	1982
94	206	1967
95	207	1950
96	207	1934
97	208	1917
98	208	1902
99	209	1886
100	210	1871
101	210	1854
102	211	1841
103	212	1829
104	213	1816
105	213	1803
106	214	1791
107	215	1780
108	216	1767
109	216	1755
110	217	1743
111	218	1732
112	219	1721
113	220	1710
114	220	1699
115	221	1687
116	222	1677
117	223	1666
118	223	1654
119	224	1643
120	224	1633
121	225	1622
122	225	1609
123	226	1598
124	226	1588
125	227	1577
126	228	1567
127	228	1557
128	229	1549
129	230	1541
130	231	1533
131	231	1524
132	232	1515
133	233	1506
134	233	1497
135	234	1489
136	235	1482
137	235	1473
138	236	1465
139	237	1456
140	237	1448
141	238	1440
142	239	1432
143	239	1424
144	240	1418
145	241	1410
146	241	1403
147	242	1395
148	243	1388
149	243	1382
150	244	1374
151	245	1367
152	245	1359
153	246	1352
154	246	1345
155	247	1338
156	248	1332
157	248	1326
158	249	1319
159	250	1312
160	250	1306
161	251	1300
162	252	1295
